 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
05102;SAN XOAN;43,494555;-8,214222;ESTRADA SAN XOAN, S/N;15404;Ferrol;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05102.pdf;
05103;SANTA ICIA;43,500113;-8,199581;RUA ESTACION FERROCARRIL, 2;15570;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05103.pdf;
05104;VIRXE DO MAR;43,496509;-8,204876;RUA PONTE DAS CABRAS, S/N;15570;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05104.pdf;
05105;PIÑEIROS;43,509526;-8,183968;RUA CERRALLON DE ARRIBA, S/N;15572;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05105.pdf;
05106;O PONTO;43,514774;-8,177783;RUA MARIA SOLIÑA, 13;15572;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05106.pdf;
05107;XUVIA;43,517113;-8,161322;CARRETERA DE CASTELA CON TRAVESIA FEVE;15570;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05107.pdf;
05108;O ALTO DO CASTIÑEIRO;43,503175;-8,195562;RUA TORRE, S/N;15570;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05108.pdf;
05109;FERRERIAS;43,527976;-8,150454;CAMIÑO DO APEADOIRO PRADOS, S/N;15570;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05109.pdf;
05111;SEDES;43,542607;-8,140199;CARRETERA AG-64 - ESTACION FERROCARRIL, S/N;15570;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05111.pdf;
05113;PEDROSO DE NARON;43,536748;-8,109213;CALLE ALDEA MOSTEIRO, 4;15597;Narón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05113.pdf;
05115;SAN SADURNIÑO;43,546021;-8,077931;CARRETERA DP-7603 - LUGAR ORXAS, 7;15560;San Sadurniño;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05115.pdf;
05117;LAMAS;43,54732;-8,048051;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;15562;San Sadurniño;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05117.pdf;
05119;APALLA;43,550465;-8,018659;CALLE ESTACION FERROCARRIL S/N;15563;San Sadurniño;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05119.pdf;
05121;MOECHE;43,562171;-8,002732;CARRETERA CP-4901 - ESTACION FERROCARRIL, S/N;15563;Moeche;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05121.pdf;
05123;LABACENGOS;43,56528;-7,980225;CARRETERA DP-4902 - ESTACION FERROCARRIL, S/N;15564;Moeche;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05123.pdf;
05125;ENTRAMBARRIAS;43,57706;-7,954257;CALLE ESTACION FERROCARRIL S/N;15564;Moeche;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05125.pdf;
05127;CERDIDO;43,58716;-7,934617;CARRETERA AC-110 - ESTACION FERROCARRIL, S/N;15563;Cerdido;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05127.pdf;
05129;A CUQUEIRA;43,60779;-7,921785;CALLE ESTACION FERROCARRIL S/N;15569;Cerdido;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05129.pdf;
05131;SANTA MARIA DE MERA;43,640986;-7,916209;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;15349;Ortigueira;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05131.pdf;
05133;PONTE MERA;43,666061;-7,902557;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;15340;Ortigueira;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05133.pdf;
05135;SAN CLODIO;43,660887;-7,873495;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;15368;Ortigueira;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05135.pdf;
05137;SENRA;43,668783;-7,8545455;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;15368;Ortigueira;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05137.pdf;
05139;ORTIGUEIRA;43,686268;-7,849488;AVENIDA JUAN LUIS PLA MARTINEZ, S/N;15330;Ortigueira;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05139.pdf;
05141;ESPASANTE;43,70888;-7,804897;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;15339;Ortigueira;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05141.pdf;
05143;LOIBA;43,730381;-7,750047;CARRETERA CP-6104 - ESTACION FERROCARRIL, S/N;15339;Ortigueira;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05143.pdf;
05145;O BARQUEIRO;43,735649;-7,70288;CARRETERA ESTACION FERROCARRIL, 6;15337;Mañón;Coruña, A;https://data.renfe.com/files/estaciones/FichaEstacion05145.pdf;
05147;O VICEDO;43,731011;-7,673025;RUA DEPUTACION - CAMIÑO SACIDO, S/N;27860;Vicedo, O;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05147.pdf;
05149;MOSENDE;43,706194;-7,635477;CARRETERA A FRADERIA, S/N;27861;Vicedo, O;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05149.pdf;
05151;FOLGUEIRO;43,692766;-7,635048;CARRETERA LU-862 - ESTACION FERROCARRIL, S/N;27860;Vicedo, O;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05151.pdf;
05153;COVAS DE VIVEIRO;43,670275;-7,614613;CAMINO ESCOLAR ESTACION FERROCARRIL, S/N;27861;Viveiro;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05153.pdf;
05155;VIVEIRO;43,6569;-7,60033;AVENIDA XUNQUEIRA ESQUINA RUA VERXELES, S/N;27869;Viveiro;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05155.pdf;
05156;VIVEIRO-APEADERO;43,663107;-7,592084;CAMIÑO ALTAMIRA, 2;27869;Viveiro;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05156.pdf;
05157;XUANCES;43,687991;-7,553904;CAMIÑO O CRUZEIRO - ESTACION FERROCARRIL, S/N;27877;Xove;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05157.pdf;
05159;XOVE-POBO;43,683567;-7,510921;CAMINO APEADERO, S/N;27878;Xove;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05159.pdf;
05161;XOVE;43,681138;-7,495251;CARRETERA LU-862 - ESTACION FERROCARRIL, S/N;27878;Xove;Lugo;https://data.renfe.com/files/estaciones/FichaEstacion05161.pdf;
